Time,Timestamp,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Estimulo
0.304,1595457113936.691,35783.219,9321.750,-61560.480,-17648.445,-16898.164,-27735.295,-63406.711,-25095.062,0
0.308,1595457113940.691,35778.078,9251.297,-61614.168,-17767.580,-16291.739,-27909.639,-63445.559,-25184.627,0
0.312,1595457113944.691,38212.832,9211.511,-61617.855,-17826.141,-16640.314,-27862.186,-63489.680,-25262.947,0
0.316,1595457113948.691,39153.102,9247.453,-61561.754,-17757.275,-17444.418,-27827.072,-63459.594,-25237.197,0
0.320,1595457113952.690,38005.051,9335.362,-61530.215,-17666.930,-17440.529,-27749.957,-63398.195,-25114.688,0
0.324,1595457113956.690,35744.551,9306.395,-61574.738,-17685.930,-16916.135,-27716.453,-63393.078,-25065.090,0
0.328,1595457113960.690,35750.250,9227.403,-61621.477,-17811.166,-16271.242,-27797.143,-63426.379,-25157.133,0
0.332,1595457113964.690,38184.914,9184.287,-61627.578,-17871.895,-16637.207,-27860.666,-63470.438,-25264.600,0
0.336,1595457113968.690,39126.570,9214.797,-61583.078,-17805.467,-17487.289,-27827.877,-63458.188,-25266.455,0
0.340,1595457113972.690,37991.258,9360.553,-61516.355,-17674.596,-17456.668,-27805.078,-63361.492,-25132.412,0
0.344,1595457113976.690,35748.730,9341.755,-61562.582,-17682.531,-16863.496,-27778.322,-63359.191,-25075.326,0
0.348,1595457113980.690,35697.703,9255.433,-61624.203,-17802.984,-16336.554,-27807.805,-63430.113,-25160.754,0
0.352,1595457113984.689,38121.145,9223.693,-61626.641,-17854.842,-16706.186,-27865.605,-63474.480,-25256.799,0
0.356,1595457113988.689,39079.320,9249.889,-61577.289,-17806.002,-17507.271,-27878.123,-63457.719,-25271.508,0
0.360,1595457113992.689,37988.332,9372.846,-61526.324,-17698.580,-17507.896,-27751.121,-63386.840,-25154.742,0
0.364,1595457113996.689,35770.480,9387.308,-61530.125,-17691.629,-16926.998,-27816.477,-63351.547,-25092.447,0
0.368,1595457114000.689,35701.391,9326.354,-61582.406,-17796.258,-16341.181,-27822.779,-63401.234,-25154.316,0
0.372,1595457114004.689,38106.438,9265.893,-61604.000,-17871.537,-16663.693,-27852.553,-63459.305,-25252.732,0
0.376,1595457114008.689,39052.652,9285.004,-61553.820,-17810.094,-17492.363,-27901.078,-63446.879,-25243.053,0
0.380,1595457114012.688,37973.355,9427.205,-61491.324,-17678.307,-17466.100,-27694.592,-63364.266,-25081.875,0
0.384,1595457114016.688,35776.445,9388.135,-61562.805,-17714.182,-16913.207,-27776.959,-63388.941,-25044.703,0
0.388,1595457114020.688,35696.719,9319.515,-61601.070,-17806.070,-16276.562,-27830.670,-63412.723,-25102.059,0
0.392,1595457114024.688,38125.949,9300.739,-61603.930,-17829.449,-16602.629,-27810.330,-63454.992,-25164.934,0
0.396,1595457114028.688,39072.258,9336.502,-61569.398,-17751.889,-17490.686,-27747.633,-63456.578,-25131.764,0
0.400,1595457114032.688,37936.250,9443.209,-61520.828,-17642.791,-17508.434,-27729.953,-63383.957,-25011.221,0
0.404,1595457114036.688,35746.094,9437.555,-61543.828,-17632.979,-16848.365,-27821.439,-63356.844,-24961.176,0
0.408,1595457114040.688,35632.523,9370.946,-61604.625,-17722.922,-16290.085,-27926.871,-63413.594,-25043.363,0
0.412,1595457114044.688,38049.059,9338.581,-61606.344,-17749.207,-16636.111,-27775.082,-63457.496,-25093.363,0
0.416,1595457114048.688,38980.457,9346.896,-61553.191,-17691.092,-17454.320,-27786.459,-63433.711,-25082.389,0
0.420,1595457114052.687,37849.059,9447.501,-61531.824,-17592.342,-17455.975,-27724.053,-63375.129,-24970.496,0
0.424,1595457114056.687,35737.914,9438.828,-61567.879,-17600.791,-16874.113,-27719.939,-63362.230,-24930.018,0
0.428,1595457114060.687,35625.527,9387.486,-61611.172,-17670.953,-16319.365,-27784.379,-63399.828,-24981.650,0
0.432,1595457114064.687,37993.023,9342.761,-61632.719,-17723.859,-16703.145,-27838.918,-63450.543,-25103.936,0
0.436,1595457114068.687,38902.785,9368.711,-61581.289,-17667.287,-17547.885,-27850.518,-63429.598,-25134.357,0
0.440,1595457114072.687,37792.910,9480.827,-61549.395,-17544.732,-17551.482,-27699.287,-63365.516,-25010.572,0
0.444,1595457114076.687,35711.469,9470.054,-61576.996,-17533.311,-16906.457,-27676.197,-63347.145,-24950.580,0
0.448,1595457114080.686,35581.094,9406.440,-61633.391,-17623.344,-16297.528,-27812.318,-63395.355,-25041.955,0
0.452,1595457114084.686,37969.219,9368.376,-61652.973,-17666.215,-16678.670,-27879.553,-63457.918,-25156.016,0
0.456,1595457114088.686,38917.984,9418.041,-61586.141,-17574.416,-17520.996,-27747.432,-63422.758,-25125.305,0
0.460,1595457114092.686,37803.996,9529.174,-61550.242,-17467.820,-17521.666,-27674.945,-63355.012,-24997.072,0
0.464,1595457114096.686,35762.680,9524.547,-61577.711,-17464.893,-16876.416,-27724.746,-63342.316,-24945.439,0
0.468,1595457114100.686,35655.703,9471.127,-61637.301,-17567.174,-16247.751,-27826.670,-63392.965,-25014.328,0
0.472,1595457114104.686,38042.422,9429.440,-61666.293,-17629.625,-16613.270,-27900.006,-63454.746,-25129.842,0
0.476,1595457114108.686,38940.648,9460.465,-61593.312,-17540.420,-17486.574,-27749.936,-63418.402,-25102.037,0
0.480,1595457114112.685,37828.137,9561.964,-61550.465,-17458.119,-17498.756,-27723.314,-63347.098,-25000.850,0
0.484,1595457114116.685,35853.762,9560.533,-61585.090,-17455.260,-16850.041,-27696.561,-63332.996,-24939.158,0
0.488,1595457114120.685,35726.266,9507.582,-61629.012,-17544.600,-16212.189,-27770.834,-63360.668,-25006.416,0
0.492,1595457114124.685,38096.109,9474.145,-61642.934,-17611.498,-16535.148,-27865.047,-63411.539,-25132.994,0
0.496,1595457114128.685,38972.367,9520.859,-61573.266,-17540.643,-17450.789,-27828.145,-63379.375,-25128.857,0
0.500,1595457114132.685,37825.902,9630.941,-61540.699,-17448.150,-17535.814,-27710.352,-63316.254,-25010.551,0
0.504,1595457114136.685,35862.523,9604.500,-61585.426,-17461.854,-16870.402,-27756.217,-63308.141,-24975.570,0
0.508,1595457114140.684,35721.016,9563.216,-61635.625,-17537.021,-16189.233,-27774.725,-63340.191,-25018.664,0
0.512,1595457114144.684,38053.934,9527.788,-61646.176,-17592.990,-16580.725,-27849.109,-63401.348,-25129.686,0
0.516,1595457114148.684,38932.578,9548.732,-61585.535,-17546.453,-17494.486,-27839.500,-63374.816,-25149.734,0
0.520,1595457114152.684,37816.422,9646.230,-61569.129,-17459.059,-17553.785,-27766.096,-63326.691,-25053.422,0
0.524,1595457114156.684,35853.426,9644.219,-61604.289,-17451.393,-16884.172,-27838.336,-63300.496,-25010.283,0
0.528,1595457114160.684,35676.199,9592.586,-61640.746,-17520.816,-16180.338,-27833.576,-63329.328,-25059.434,0
0.532,1595457114164.684,38025.590,9570.704,-61647.516,-17564.537,-16568.633,-27804.676,-63384.984,-25153.668,0
0.536,1595457114168.684,38963.738,9599.471,-61590.230,-17500.812,-17502.176,-27747.053,-63359.348,-25170.857,0
0.540,1595457114172.683,37832.875,9708.033,-61543.312,-17395.223,-17536.283,-27683.596,-63288.066,-25074.432,0
0.544,1595457114176.683,35892.562,9718.449,-61565.375,-17387.422,-16799.838,-27740.189,-63271.977,-25027.068,0
0.548,1595457114180.683,35681.543,9682.753,-61618.281,-17487.512,-16170.749,-27763.973,-63333.957,-25097.588,0
0.552,1595457114184.683,38030.777,9658.523,-61637.324,-17571.465,-16550.818,-27939.836,-63396.383,-25236.326,0
0.556,1595457114188.683,38980.234,9709.374,-61569.219,-17481.902,-17449.111,-27697.945,-63353.871,-25196.920,0
0.560,1595457114192.683,37845.660,9806.560,-61540.789,-17381.609,-17580.385,-27722.936,-63301.590,-25098.840,0
0.564,1595457114196.683,35912.793,9806.112,-61563.586,-17378.391,-16825.408,-27728.254,-63279.215,-25050.293,0
0.568,1595457114200.682,35686.035,9782.599,-61589.402,-17439.166,-16063.930,-27714.598,-63297.188,-25090.637,0
0.572,1595457114204.682,38025.816,9738.722,-61624.004,-17502.287,-16403.387,-27810.666,-63367.352,-25209.234,0
0.576,1595457114208.682,39007.816,9764.270,-61575.254,-17442.184,-17357.783,-27774.947,-63353.559,-25213.549,0
0.580,1595457114212.682,37888.219,9856.359,-61536.340,-17340.260,-17456.020,-27714.217,-63288.066,-25089.967,0
0.584,1595457114216.682,35919.453,9868.317,-61544.387,-17322.109,-16766.266,-27831.654,-63260.777,-25017.793,0
0.588,1595457114220.682,35641.062,9818.093,-61587.211,-17389.881,-16064.668,-27787.822,-63296.785,-25046.648,0
0.592,1595457114224.682,38017.051,9768.673,-61622.082,-17450.900,-16348.535,-27749.131,-63356.645,-25131.361,0
0.596,1595457114228.682,38999.656,9800.077,-61561.910,-17377.654,-17324.904,-27702.215,-63331.340,-25119.693,0
0.600,1595457114232.681,37891.211,9920.889,-61514.277,-17271.035,-17450.408,-27688.580,-63256.977,-24986.344,0
0.604,1595457114236.681,35928.461,9906.740,-61534.910,-17270.320,-16731.062,-27735.809,-63236.438,-24923.334,0
0.608,1595457114240.681,35580.867,9852.939,-61603.461,-17360.555,-16103.448,-27789.051,-63294.953,-24976.844,0
0.612,1595457114244.681,37956.414,9796.971,-61633.570,-17440.865,-16356.895,-27855.258,-63350.855,-25102.863,0
0.616,1595457114248.681,38980.480,9808.280,-61590.633,-17373.562,-17324.457,-27701.254,-63341.711,-25095.443,0
0.620,1595457114252.681,37892.488,9931.014,-61527.867,-17250.852,-17465.160,-27608.785,-63255.859,-24951.721,0
0.624,1595457114256.681,35927.387,9943.195,-61539.289,-17238.895,-16702.564,-27650.582,-63223.605,-24896.602,0
0.628,1595457114260.680,35566.297,9885.126,-61612.047,-17323.607,-16008.229,-27765.582,-63281.051,-24966.316,0
0.632,1595457114264.680,37937.949,9843.887,-61642.488,-17384.002,-16317.577,-27848.484,-63345.848,-25072.018,0
0.636,1595457114268.680,38966.824,9873.458,-61588.465,-17310.039,-17338.984,-27847.770,-63334.066,-25078.836,0
0.640,1595457114272.680,37906.121,9985.038,-61542.352,-17192.469,-17455.996,-27645.396,-63262.699,-24948.568,0
0.644,1595457114276.680,35984.832,9989.195,-61558.602,-17177.672,-16690.404,-27688.156,-63232.746,-24890.320,0
0.648,1595457114280.680,35617.371,9942.480,-61618.660,-17250.740,-15982.793,-27711.289,-63278.145,-24948.123,0
0.652,1595457114284.680,37989.852,9896.950,-61640.543,-17305.525,-16287.470,-27770.701,-63343.859,-25047.408,0
0.656,1595457114288.680,39034.371,9907.589,-61597.785,-17248.617,-17315.092,-27733.619,-63341.645,-25050.381,0
0.660,1595457114292.679,37953.059,10017.560,-61552.141,-17146.939,-17401.346,-27679.416,-63259.613,-24940.076,0
0.664,1595457114296.679,36028.059,10045.924,-61549.996,-17119.648,-16694.182,-27696.895,-63226.398,-24854.268,0
0.668,1595457114300.679,35637.664,9984.010,-61607.664,-17198.057,-16006.731,-27767.168,-63273.516,-24893.852,0
0.672,1595457114304.679,37992.824,9915.770,-61651.941,-17288.135,-16285.860,-27923.363,-63344.617,-25025.549,0
0.676,1595457114308.679,39041.992,9934.366,-61589.289,-17231.160,-17270.879,-27835.789,-63325.820,-25031.092,0
0.680,1595457114312.679,37989.426,10040.649,-61536.695,-17102.906,-17383.465,-27545.977,-63245.309,-24863.654,0
0.684,1595457114316.679,36082.465,10049.411,-61552.230,-17070.541,-16646.484,-27601.006,-63210.395,-24794.834,0
0.688,1595457114320.678,35603.848,9979.048,-61626.352,-17182.881,-16009.884,-27750.807,-63273.449,-24896.602,0
0.692,1595457114324.678,37964.055,9942.682,-61645.750,-17265.627,-16255.663,-27820.389,-63325.305,-25036.322,0
0.696,1595457114328.678,39023.305,9985.529,-61590.855,-17210.619,-17231.094,-27821.596,-63307.133,-25053.980,0
0.700,1595457114332.678,37901.473,10091.499,-61560.973,-17122.531,-17424.459,-27808.520,-63255.121,-24970.652,0
0.704,1595457114336.678,36013.242,10078.044,-61581.559,-17110.371,-16688.594,-27659.881,-63230.535,-24894.725,0
0.708,1595457114340.678,35558.184,9998.963,-61638.176,-17197.699,-15946.852,-27769.852,-63264.711,-24971.055,0
0.712,1595457114344.678,37919.891,9948.448,-61667.477,-17253.869,-16216.324,-27776.959,-63336.078,-25077.561,0
0.716,1595457114348.678,38991.656,9981.976,-61605.383,-17194.012,-17211.514,-27766.252,-63320.723,-25092.559,0
0.720,1595457114352.677,37933.590,10075.540,-61547.090,-17096.691,-17350.764,-27739.855,-63243.992,-24999.732,0
0.724,1595457114356.677,36050.547,10083.318,-61581.312,-17078.834,-16677.887,-27702.639,-63235.406,-24925.346,0
0.728,1595457114360.677,35558.113,10028.021,-61623.465,-17162.787,-16000.786,-27843.812,-63272.512,-24997.096,0
0.732,1595457114364.677,37914.145,9987.385,-61646.062,-17236.592,-16220.370,-27925.396,-63333.418,-25118.084,0
0.736,1595457114368.677,39009.805,9977.908,-61609.004,-17178.566,-17218.107,-27770.320,-63341.379,-25123.182,0
0.740,1595457114372.677,37922.348,10086.112,-61558.109,-17078.967,-17422.111,-27736.703,-63272.711,-25030.041,0
0.744,1595457114376.677,36038.344,10098.831,-61568.594,-17082.387,-16691.500,-27815.762,-63235.719,-24987.752,0
0.748,1595457114380.677,35516.875,10049.701,-61638.441,-17166.854,-15954.339,-27818.443,-63283.867,-25040.904,0
0.752,1595457114384.677,37881.133,10030.211,-61655.832,-17212.943,-16222.359,-27763.793,-63341.219,-25124.992,0
0.756,1595457114388.676,38975.676,10046.572,-61583.414,-17166.385,-17198.348,-27855.637,-63307.762,-25165.158,0
0.760,1595457114392.676,37921.590,10160.834,-61527.488,-17058.672,-17341.713,-27715.000,-63232.012,-25056.797,0
0.764,1595457114396.676,36036.152,10159.337,-61579.656,-17062.248,-16687.857,-27666.451,-63230.199,-24995.418,0
0.768,1595457114400.676,35474.766,10099.144,-61634.328,-17155.521,-15970.455,-27744.527,-63266.945,-25061.289,0
0.772,1595457114404.676,37825.812,10068.656,-61653.148,-17227.965,-16230.384,-27840.326,-63328.637,-25175.305,0
0.776,1595457114408.676,38931.773,10073.931,-61621.855,-17189.385,-17285.051,-27855.928,-63330.672,-25204.721,0
0.780,1595457114412.676,37878.875,10197.715,-61554.824,-17063.791,-17496.945,-27725.707,-63247.836,-25068.955,0
0.784,1595457114416.675,36008.121,10222.056,-61563.742,-17054.693,-16768.748,-27746.650,-63212.453,-24996.938,0
0.788,1595457114420.675,35423.332,10149.882,-61639.359,-17171.705,-16013.482,-27787.754,-63260.328,-25077.807,0
0.792,1595457114424.675,37781.039,10110.297,-61671.566,-17247.857,-16245.649,-27829.217,-63334.047,-25204.184,0
