timestamps,TP9,AF7,AF8,TP10,Right AUX,Estimulo
216828.496,33.691,30.762,40.527,32.715,48.340,0
216828.500,27.832,20.996,42.480,23.438,39.062,0
216828.504,18.066,19.531,41.016,21.484,30.762,0
216828.508,22.461,23.926,35.645,28.320,26.367,0
216828.512,29.297,29.785,28.320,36.621,4.883,0
216828.516,27.832,22.949,25.391,41.992,-0.488,0
216828.520,32.227,16.113,22.461,30.273,0.488,0
216828.524,37.109,23.926,32.227,15.625,15.137,0
216828.527,33.691,35.645,39.551,15.137,32.227,0
216828.531,23.926,35.156,37.598,12.207,22.949,0
216828.535,14.648,37.598,38.086,14.160,41.016,0
216828.539,16.113,40.039,29.785,19.531,57.129,0
216828.543,3.418,37.109,20.996,13.184,61.035,0
216828.547,2.930,41.504,23.438,9.766,52.734,0
216828.551,15.137,39.062,38.574,10.254,11.719,0
216828.555,5.859,29.785,33.691,0.488,39.062,0
216828.559,-3.418,40.527,27.832,-7.324,30.273,0
216828.563,4.883,48.340,34.180,-8.301,11.719,0
216828.567,-1.465,44.922,24.414,-7.812,31.738,0
216828.570,-34.180,50.781,23.926,-27.832,-3.418,0
216828.574,-56.152,56.152,22.949,-65.430,1.953,0
216828.578,-60.059,54.199,29.785,-67.871,17.090,0
216828.582,-56.152,46.387,41.016,-57.129,3.418,0
216828.586,-55.176,61.523,28.809,-59.082,9.766,0
216828.590,-80.078,65.430,17.090,-76.172,27.344,0
216828.594,-103.027,53.711,30.273,-98.145,53.711,0
216828.598,-105.957,63.477,50.293,-108.398,41.504,0
216828.602,-120.117,71.777,35.645,-124.512,47.363,0
216828.606,-129.883,66.406,26.367,-134.277,22.949,0
216828.610,-143.555,54.688,36.133,-145.020,-1.465,0
216828.613,-135.254,70.801,38.086,-143.555,66.895,0
216828.617,-123.535,81.055,26.855,-142.578,36.621,0
216828.621,-137.207,64.453,18.555,-160.645,-44.922,0
216828.625,-144.043,61.523,21.973,-149.414,-15.137,0
216828.629,-137.207,71.777,27.344,-126.465,31.250,0
216828.633,-125.977,69.336,38.574,-126.953,39.551,0
216828.637,-116.211,63.477,23.438,-119.629,17.090,0
216828.641,-103.027,65.430,10.254,-110.840,30.273,0
216828.645,-108.398,66.406,34.668,-108.887,57.617,0
216828.649,-106.934,54.688,41.016,-104.004,47.852,0
216828.652,-102.539,44.922,20.996,-111.328,48.340,0
216828.656,-106.445,53.711,27.344,-106.934,31.250,0
216828.660,-97.168,46.875,36.621,-96.680,24.902,0
216828.664,-69.336,41.992,32.227,-72.754,-8.301,0
216828.668,-40.527,58.105,18.066,-52.246,9.277,0
216828.672,-46.387,57.617,2.441,-42.969,62.012,0
216828.676,-53.711,42.480,10.742,-43.945,28.320,0
216828.680,-47.852,33.691,32.227,-41.016,24.902,0
216828.684,-35.156,27.344,43.945,-26.367,34.180,0
216828.688,-24.902,21.973,39.551,-23.926,34.668,0
216828.692,-18.555,26.855,41.504,-11.719,30.273,0
216828.695,-0.488,22.949,38.086,4.395,31.250,0
216828.699,15.625,19.043,26.367,15.137,36.621,0
216828.703,28.809,24.902,10.254,31.250,34.180,0
216828.707,32.227,26.367,9.277,40.039,97.656,0
216828.711,33.203,25.391,27.344,37.109,88.379,0
216828.715,31.738,16.113,37.109,33.691,31.250,0
216828.719,39.551,20.508,24.902,44.922,66.895,0
216828.723,51.270,22.461,19.043,55.176,62.500,0
216828.727,50.293,15.625,33.691,45.898,33.203,0
216828.731,54.199,23.926,29.297,49.805,22.949,0
216828.735,54.688,30.762,16.113,62.988,41.016,0
216828.738,51.758,25.879,12.695,67.383,69.824,0
216828.742,63.477,23.438,28.320,75.684,64.453,0
216828.746,67.383,20.508,34.668,77.637,34.180,0
216828.750,57.129,25.879,29.297,85.449,22.949,0
216828.754,64.453,24.414,24.902,92.773,23.926,0
216828.758,74.707,18.066,20.508,79.590,-7.324,0
216828.762,75.684,13.672,17.578,73.730,36.133,0
216828.766,77.148,-1.953,14.160,76.660,75.195,0
216828.770,86.914,3.906,25.879,85.449,50.781,0
216828.774,97.168,22.461,37.598,91.797,81.543,0
216828.777,95.703,21.973,33.203,96.680,76.660,0
216828.781,93.750,15.137,30.762,91.309,47.852,0
216828.785,90.332,13.672,34.180,92.285,62.500,0
