timestamps,TP9,AF7,AF8,TP10,Right AUX,Estimulo
191343.211,18.555,29.785,37.109,22.461,66.895,0
191343.215,20.020,29.785,34.180,10.742,21.484,0
191343.219,19.043,29.785,38.086,16.113,-43.457,0
191343.223,14.648,31.250,40.527,26.855,-6.348,0
191343.227,12.207,24.902,27.832,37.109,54.199,0
191343.231,6.836,29.785,26.367,19.043,13.672,0
191343.235,4.883,37.109,37.109,0.977,-44.922,0
191343.239,5.859,28.320,36.133,16.113,-2.930,0
191343.243,13.672,21.484,31.250,29.785,43.457,0
191343.247,28.320,22.949,31.250,34.180,46.387,0
191343.250,32.227,29.297,33.691,25.879,49.316,0
191343.254,17.578,26.367,38.574,11.719,38.086,0
191343.258,14.160,24.414,34.668,27.832,42.480,0
191343.262,24.414,28.809,22.949,52.246,52.734,0
191343.266,17.578,30.762,23.926,36.133,29.785,0
191343.270,10.742,30.762,38.086,15.137,21.484,0
191343.274,14.160,21.973,40.527,23.926,27.832,0
191343.278,23.438,22.461,29.785,40.039,33.203,0
191343.282,24.414,36.133,23.926,33.203,10.742,0
191343.286,20.020,40.527,24.902,20.508,-25.879,0
191343.289,21.484,35.156,31.738,23.438,-1.953,0
191343.293,32.227,28.320,31.738,35.645,65.918,0
191343.297,36.621,28.809,22.949,19.531,61.035,0
191343.301,29.785,29.785,29.297,6.348,-15.137,0
191343.305,24.414,26.855,42.480,21.484,-0.488,0
191343.309,33.691,29.785,42.969,42.480,96.680,0
191343.313,33.203,30.762,26.855,49.805,111.816,0
191343.317,28.809,17.090,25.391,33.691,32.227,0
191343.321,31.250,21.973,31.738,27.344,-2.930,0
191343.325,26.367,36.133,20.020,36.621,7.324,0
191343.329,19.531,33.691,17.578,37.598,46.875,0
191343.332,13.184,37.109,35.156,16.602,61.035,0
191343.336,17.090,39.062,40.527,5.371,-3.906,0
191343.340,15.137,28.809,29.785,20.020,5.371,0
191343.344,20.020,22.949,33.203,37.598,89.844,0
191343.348,36.621,39.551,34.668,31.250,117.188,0
191343.352,30.762,43.457,24.902,23.438,41.504,0
191343.356,15.137,27.344,24.902,20.508,0.977,0
191343.360,25.879,24.414,39.062,31.250,66.406,0
191343.364,35.156,25.391,41.016,42.969,85.938,0
191343.368,27.344,33.691,28.809,28.809,29.297,0
191343.372,30.762,39.062,26.855,21.484,-14.160,0
191343.375,43.457,37.109,28.320,41.016,32.715,0
191343.379,43.945,36.133,28.320,38.086,11.719,1
191343.383,31.250,34.180,29.785,17.578,-52.246,0
191343.387,18.066,33.691,32.715,29.297,-4.395,0
191343.391,18.555,30.273,31.738,39.551,24.902,0
191343.395,33.691,29.297,27.832,45.410,65.430,0
191343.399,35.156,36.133,24.414,36.621,51.758,0
191343.403,25.391,26.855,35.645,28.320,36.621,0
191343.407,26.855,28.809,43.945,27.832,53.223,0
191343.411,26.367,35.645,26.367,29.297,55.176,0
191343.414,18.555,27.832,20.020,26.855,41.504,0
191343.418,16.113,16.602,20.996,13.184,13.672,0
191343.422,18.555,17.090,18.555,29.297,44.434,0
191343.426,26.367,27.344,24.902,39.551,72.266,0
191343.430,36.133,31.738,31.738,25.391,52.246,0
191343.434,29.785,35.645,37.109,22.949,51.270,0
191343.438,18.555,31.250,40.527,26.855,8.789,0
191343.442,19.043,22.949,43.945,43.945,35.645,0
191343.446,20.020,31.250,32.715,44.434,122.559,0
191343.450,21.484,40.039,23.926,20.996,48.340,0
191343.454,21.973,34.180,30.762,22.949,-29.785,0
191343.457,20.508,27.344,28.320,38.574,6.836,0
191343.461,30.762,31.738,22.949,45.898,36.133,0
191343.465,37.598,36.621,27.344,26.855,66.895,0
191343.469,23.926,29.785,28.809,12.695,38.574,0
191343.473,14.648,25.391,27.832,25.391,16.113,0
191343.477,20.020,21.484,38.086,32.227,91.309,0
191343.481,20.508,20.996,43.945,20.996,86.426,0
191343.485,22.949,27.832,41.992,20.020,16.113,0
191343.489,24.902,21.973,36.621,35.645,13.184,0
191343.493,32.227,13.672,24.414,48.340,51.758,0
191343.497,32.715,20.508,17.090,47.852,55.176,0
191343.500,25.879,30.273,18.066,44.922,-22.949,0
191343.504,22.949,34.668,21.484,29.785,-57.617,0
191343.508,21.973,36.621,29.785,16.113,7.812,0
191343.512,22.461,35.156,35.156,26.855,32.227,0
191343.516,15.625,36.133,38.574,12.207,-21.973,0
191343.520,8.789,41.016,38.574,0.977,-14.648,0
191343.524,11.719,41.016,37.109,22.949,51.270,0
191343.528,26.855,36.133,28.809,36.621,57.129,0
191343.532,27.832,36.133,25.391,27.344,57.129,0
191343.536,21.484,39.062,16.602,10.742,42.969,0
191343.539,21.973,34.180,14.160,21.973,38.574,0
191343.543,28.320,28.809,16.602,35.645,43.457,0
191343.547,28.320,29.297,17.578,19.531,32.715,0
191343.551,26.367,29.297,28.809,23.438,63.965,0
191343.555,28.809,28.809,34.180,31.250,47.363,0
191343.559,32.227,29.785,36.621,31.250,49.316,0
191343.563,31.250,27.344,35.645,33.203,86.426,0
191343.567,31.738,23.926,29.297,35.645,47.852,0
191343.571,31.738,23.926,25.879,29.785,24.414,0
191343.575,28.320,17.578,34.668,32.227,48.340,0
191343.579,31.250,24.414,39.062,34.668,86.914,0
191343.582,30.273,35.156,37.598,27.832,81.055,0
191343.586,32.227,34.668,39.062,27.344,17.090,0
191343.590,23.926,27.832,41.504,25.879,12.207,0
191343.594,16.602,25.391,39.062,31.738,44.434,0
191343.598,24.414,27.832,32.715,27.344,47.852,0
191343.602,23.438,25.879,22.949,9.277,59.570,0
191343.606,10.254,24.902,23.438,9.277,44.922,0
191343.610,22.461,29.785,23.438,41.016,89.355,0
191343.614,29.297,28.809,20.996,48.828,136.719,0
191343.618,25.879,30.762,34.180,32.227,69.336,0
191343.622,25.879,31.738,54.688,27.344,35.645,0
191343.625,17.090,20.020,54.199,34.180,64.941,0
191343.629,31.738,19.043,28.809,33.691,90.820,0
191343.633,34.668,23.926,22.949,32.227,46.387,0
191343.637,20.508,30.762,35.645,22.949,18.555,0
191343.641,20.020,38.086,35.645,33.203,31.250,0
191343.645,34.668,41.992,31.738,55.176,83.008,0
191343.649,42.969,41.016,26.367,38.574,72.266,0
191343.653,35.645,34.180,29.297,19.531,20.996,0
191343.657,19.531,35.156,36.621,21.973,69.824,0
191343.661,15.625,28.320,43.945,33.203,127.441,0
191343.664,27.832,23.926,52.246,31.738,87.891,0
191343.668,24.902,33.203,50.293,20.508,25.879,0
191343.672,25.879,32.227,34.668,19.531,52.246,0
191343.676,35.645,18.555,22.949,44.922,96.680,0
191343.680,37.109,15.625,20.996,53.711,72.266,0
191343.684,36.621,22.949,21.484,34.668,25.391,0
191343.688,35.156,31.250,29.297,20.996,58.594,0
191343.692,31.250,31.738,42.969,27.344,77.148,0
191343.696,29.785,29.785,50.293,40.039,51.758,0
191343.700,31.250,38.086,46.387,26.367,33.203,0
191343.704,36.133,40.527,39.551,22.461,-1.465,0
191343.707,26.855,28.320,29.785,36.133,2.930,0
191343.711,28.809,20.508,20.020,44.434,64.941,0
191343.715,33.691,24.902,24.902,28.320,53.711,0
191343.719,28.809,35.645,32.227,29.297,9.277,0
191343.723,28.320,39.062,27.344,47.852,13.184,0
191343.727,24.902,29.785,32.715,56.641,20.020,0
191343.731,28.320,26.367,41.504,42.480,-13.672,0
191343.735,24.902,32.227,40.039,19.043,-43.457,0
191343.739,23.438,29.785,39.551,26.855,-39.551,0
191343.743,27.832,28.320,31.738,44.922,-6.348,0
191343.747,22.461,33.203,23.438,34.180,29.785,0
191343.750,26.855,36.621,19.043,20.996,21.973,0
191343.754,25.391,33.691,20.508,12.207,-26.367,0
191343.758,25.879,27.832,29.785,19.043,-9.766,0
191343.762,28.320,26.855,34.668,39.062,57.129,0
191343.766,28.809,29.297,25.391,22.461,16.602,0
191343.770,28.320,30.762,24.902,18.066,-37.109,0
191343.774,23.926,28.320,35.645,15.137,-7.324,0
191343.778,18.066,28.320,37.598,22.949,44.922,0
191343.782,20.508,30.762,37.598,28.809,-0.488,0
191343.786,19.531,27.344,36.133,10.742,-48.828,0
191343.789,14.160,21.973,31.250,11.719,7.324,0
191343.793,8.789,24.902,32.227,38.086,55.664,0
191343.797,6.836,34.180,24.414,33.691,55.176,0
191343.801,23.438,30.273,20.508,24.414,22.461,0
191343.805,23.438,20.020,27.344,33.203,0.977,0
191343.809,32.227,27.344,29.297,34.668,44.434,0
191343.813,27.832,39.062,33.203,31.738,52.734,0
191343.817,12.695,47.363,31.738,12.695,0.000,0
191343.821,12.695,43.945,27.832,8.789,-9.766,0
191343.825,16.113,30.762,31.738,24.414,3.906,0
191343.829,24.414,25.879,36.621,30.762,14.648,0
191343.832,24.902,33.691,21.973,22.949,6.348,0
191343.836,21.484,37.109,14.160,12.207,-1.953,0
191343.840,23.438,33.691,34.180,20.996,12.207,0
191343.844,24.414,32.227,40.527,36.133,-11.230,0
191343.848,25.391,36.621,35.156,24.902,-96.191,0
191343.852,27.832,37.598,35.645,12.695,-87.891,0
191343.856,24.902,37.598,36.133,14.160,-41.504,0
191343.860,29.785,34.668,33.691,35.156,-0.488,0
191343.864,31.738,31.738,28.320,33.691,39.551,0
191343.868,31.738,30.273,20.508,15.625,18.066,0
191343.872,30.273,30.762,15.625,23.926,8.301,0
191343.875,22.461,27.832,14.648,38.086,49.805,0
191343.879,23.438,24.414,24.414,30.762,58.105,0
191343.883,23.438,26.367,37.109,21.973,35.645,0
191343.887,21.973,23.926,42.480,27.344,40.527,0
191343.891,20.508,22.461,41.504,28.809,34.180,0
191343.895,34.668,27.344,39.551,36.621,56.641,0
191343.899,42.969,26.855,39.551,34.668,49.805,0
191343.903,29.297,26.855,34.180,19.531,-23.438,0
191343.907,22.949,24.414,28.320,26.367,-19.043,0
191343.911,29.785,20.020,30.273,37.598,38.574,0
191343.914,35.156,27.832,33.691,36.133,14.648,0
191343.918,39.551,29.785,30.273,43.457,-37.598,0
191343.922,30.273,28.320,29.785,45.898,-53.711,0
191343.926,14.160,22.461,35.156,30.762,-17.090,0
191343.930,2.930,20.020,35.645,19.531,-5.859,0
191343.934,7.324,22.949,34.668,19.043,-78.125,0
191343.938,13.184,25.879,34.668,13.672,-87.402,0
191343.942,16.113,26.855,31.250,28.809,-39.551,0
191343.946,25.391,25.391,34.668,33.203,13.184,0
191343.950,17.090,23.926,36.621,14.648,-7.324,0
191343.954,12.695,11.230,30.762,11.719,-22.461,0
191343.957,21.973,6.348,28.320,27.832,55.664,0
191343.961,20.508,13.184,32.715,36.621,112.793,0
191343.965,13.184,22.949,36.133,21.484,73.242,0
191343.969,9.277,34.180,38.574,17.090,0.977,0
191343.973,12.207,38.574,36.621,25.879,-8.301,0
191343.977,27.832,33.203,29.785,45.410,37.109,0
191343.981,37.109,22.949,29.785,35.156,22.461,0
191343.985,40.527,19.043,32.227,21.484,-16.602,0
191343.989,24.902,20.508,20.020,46.387,37.109,0
191343.993,14.648,24.902,21.973,49.805,70.801,2
191343.997,22.461,40.527,31.738,28.809,54.199,0
191344.000,12.207,42.969,31.738,19.531,18.555,0
191344.004,10.254,39.062,33.203,20.508,-19.043,0
191344.008,21.973,35.645,31.738,41.016,16.113,0
191344.012,28.320,24.902,28.320,38.574,91.797,0
191344.016,28.809,21.973,30.273,21.484,64.453,0
191344.020,25.391,33.203,31.738,28.320,39.062,0
191344.024,22.949,36.133,34.180,33.203,52.246,0
191344.028,25.879,26.855,31.250,40.527,52.246,0
191344.032,28.320,34.668,24.902,36.133,57.129,0
191344.036,26.367,40.039,34.668,27.832,25.879,0
191344.039,19.531,29.785,46.387,35.156,29.297,0
191344.043,18.066,31.250,46.387,40.527,40.527,0
191344.047,17.090,34.180,34.180,26.855,26.855,0
191344.051,20.020,28.809,20.508,15.625,16.113,0
191344.055,21.484,34.180,20.020,15.137,-7.812,0
191344.059,20.020,35.156,27.344,28.809,9.277,0
191344.063,20.020,27.344,34.180,40.527,60.059,0
191344.067,18.066,20.020,41.016,28.809,52.734,0
191344.071,18.066,17.578,42.480,22.949,31.738,0
191344.075,22.949,17.090,31.250,32.715,30.762,0
191344.079,24.902,21.973,33.203,37.109,58.594,0
191344.082,30.762,28.320,43.457,22.461,-11.719,0
191344.086,33.203,25.879,32.715,21.973,-67.871,0
191344.090,25.391,29.785,26.367,25.879,-14.160,0
191344.094,19.531,35.156,27.344,34.180,37.109,0
191344.098,14.648,44.434,27.832,25.879,57.129,0
191344.102,14.160,39.062,30.762,14.160,28.809,0
191344.106,20.508,18.066,18.066,25.879,44.922,0
191344.110,36.133,23.926,14.160,41.992,96.191,0
191344.114,32.227,29.297,32.227,33.203,70.801,0
191344.118,15.625,41.992,37.598,9.277,4.395,0
191344.122,14.648,50.781,34.668,5.859,7.324,0
191344.125,26.855,34.180,33.691,19.531,38.574,0
191344.129,19.043,27.344,30.273,23.926,17.090,0
191344.133,17.090,40.527,21.484,4.395,14.160,0
191344.137,22.461,46.875,15.137,3.418,47.852,0
191344.141,13.184,39.551,26.367,20.020,38.574,0
191344.145,21.484,35.156,34.180,32.715,32.715,0
191344.149,32.227,37.598,26.367,23.926,39.551,0
191344.153,23.438,41.504,23.926,22.949,35.645,0
191344.157,14.648,34.180,25.391,33.691,60.547,0
191344.161,19.043,29.297,24.414,40.527,67.383,0
191344.164,31.250,37.109,35.156,29.785,53.711,0
191344.168,23.926,33.203,40.527,9.766,25.879,0
191344.172,20.508,28.809,36.621,11.719,-29.785,0
191344.176,33.203,34.668,39.551,25.879,26.855,0
191344.180,31.738,45.898,41.992,26.367,103.516,0
191344.184,28.809,44.434,41.016,19.043,59.082,0
191344.188,30.762,36.621,30.273,22.461,35.156,0
191344.192,22.949,32.227,24.902,42.480,104.492,0
191344.196,36.133,25.391,27.344,47.363,119.629,0
191344.200,33.203,30.762,27.344,26.855,57.129,0
191344.204,16.602,37.109,34.668,15.625,6.348,0
191344.207,16.602,42.969,39.062,29.785,43.945,0
191344.211,24.414,34.668,40.527,44.922,114.258,0
191344.215,25.879,31.738,43.457,27.344,73.730,0
191344.219,19.043,39.062,45.410,22.461,-6.836,0
191344.223,19.531,38.574,33.691,26.855,-0.488,0
191344.227,27.344,37.598,12.207,28.320,86.914,0
191344.231,25.879,40.039,17.090,33.691,70.801,0
191344.235,20.996,38.574,29.785,13.184,-8.301,0
191344.239,11.230,32.227,34.668,7.812,21.973,0
191344.243,15.625,23.926,39.551,29.785,84.961,0
191344.247,24.414,25.391,36.621,32.715,80.078,0
191344.250,23.438,30.762,31.738,21.484,0.977,0
191344.254,22.461,26.855,32.227,19.043,-11.719,0
191344.258,21.484,22.949,33.691,29.297,65.918,0
191344.262,22.949,36.133,25.879,38.574,73.730,0
191344.266,29.785,36.133,17.090,18.066,2.930,0
191344.270,24.902,26.367,19.043,8.789,-20.996,0
191344.274,11.719,23.438,30.762,27.832,52.734,0
191344.278,17.090,21.973,40.039,44.922,50.293,0
191344.282,23.438,30.273,33.691,35.645,-21.973,0
191344.286,20.020,29.297,29.297,15.137,-22.461,0
191344.289,13.672,25.879,36.621,20.508,-13.184,0
191344.293,20.996,28.809,40.527,39.062,17.578,0
191344.297,31.738,32.227,39.551,38.574,7.812,0
191344.301,32.715,34.180,35.645,27.832,-24.414,0
191344.305,32.227,27.832,26.855,26.855,-52.246,0
191344.309,26.855,27.344,24.902,33.203,-39.551,0
191344.313,22.461,31.738,31.738,34.668,13.184,0
191344.317,17.578,34.180,40.039,26.367,-14.160,0
191344.321,10.254,31.250,41.504,24.414,-39.551,0
191344.325,11.230,23.438,36.621,41.992,5.859,0
191344.329,23.438,20.020,34.180,49.805,49.805,0
191344.332,30.762,28.320,31.738,30.762,39.551,0
191344.336,18.555,34.668,33.691,27.832,16.602,0
191344.340,11.719,33.203,26.367,28.809,-6.348,0
191344.344,18.555,26.367,12.207,31.738,39.062,0
191344.348,17.090,27.832,23.926,29.785,49.316,0
191344.352,15.625,35.156,41.504,24.902,-15.625,0
